Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_list, Action, Adventure, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, News, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Director_FE,Genre_FE,Actor 1_FE,Actor 2_FE,Actor 3_FE
1942: A Love Story,-1994,157,"Action, Drama, History",7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,"['Action', ' Drama', ' History']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,56,37,17
1971,-2007,136,"Action, Drama, War",8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,"['Action', ' Drama', ' War']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,29,3,3
1978: A Teen Night Out,-2019,107,Thriller,4,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,124,1,1,1
1982 - A Love Marriage,-2017,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,251,1,1,1
19th January,-2014,,Drama,7.3,16,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1137,1,3,1
2 Little Indians,-2013,,"Comedy, Family",5.6,14,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra,"['Comedy', ' Family']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,1,1
2 Nights in Soul Valley,-2012,80,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,"['Adventure', ' Horror', ' Mystery']",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1
02-Oct,-2003,122,"Action, Crime, Thriller",5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,"['Action', ' Crime', ' Thriller']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,9,1,2
2 States,-2014,149,"Comedy, Drama, Romance",6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,"['Comedy', ' Drama', ' Romance']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,213,6,7,17
2,-2018,148,"Action, Sci-Fi",6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,"['Action', ' Sci-Fi']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,28,34,2
2001: Do Hazaar Ek,-1998,149,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,"['Crime', ' Mystery', ' Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,54,33,16
2016 the End,-2017,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,251,2,1,1
22 Days,-2018,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,124,7,1,1
22 June 1897,-1979,121,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,"['Drama', ' History']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20,2,18,1
22 Yards,-2019,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,['Sport'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,1,8
23rd March 1931: Shaheed,-2002,188,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,"['Biography', ' Drama', ' History']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,18,16,17
26th July at Barista,-2008,,Drama,3.1,32,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1137,1,1,1
27 Down,-1974,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1137,4,25,2
3 AM: A Paranormal Experience,-2014,103,"Horror, Romance",5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,"['Horror', ' Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,2,1
3 Bachelors,-2012,114,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,"['Comedy', ' Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,119,10,2,1
3 Deewarein,-2003,115,"Crime, Drama",7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,"['Crime', ' Drama']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63,47,37,17
3 Dev,-2019,122,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,251,1,1,2
3 Idiots,-2009,170,"Comedy, Drama",8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,"['Comedy', ' Drama']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,237,33,7,1
3 Nights 4 Days,-2009,,"Drama, Romance",5.2,23,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani,"['Drama', ' Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,443,1,13,1
3 Storeys,-2018,100,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1137,1,1,6
3.0 Megapixel,-2015,99,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,"['Adventure', ' Drama']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,1,1
30 Days,-2004,,Horror,5,14,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo,['Horror'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,124,2,11,11
30 Minutes,-2016,,Thriller,4.8,26,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,124,6,13,1
31st October,-2015,109,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,"['Action', ' Drama', ' History']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,1,2
340,-2009,,Thriller,4.6,9,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,124,2,1,4
36 China Town,-2006,140,"Comedy, Mystery, Thriller",5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,"['Comedy', ' Mystery', ' Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,18,6,16
36 Chowringhee Lane,-1981,122,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,"['Drama', ' Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,443,1,1,3
36 Ghante,-1974,,"Action, Crime, Drama",6.7,128,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt,"['Action', ' Crime', ' Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,417,27,43,5
376 D,-2020,128,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,"['Crime', ' Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1,1,1
377 AbNormal,-2019,93,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1137,14,2,6
3D Saamri,-1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,['Horror'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,124,21,2,3
